building_id,mean_temp,std_temp,pct_above_18,pct_below_15
10000, 6.634732342982112, 5.595448260511732, 6.654370547177317, 88.63874724241438
10009, 5.446838522078078, 5.033299541983458, 4.475324153181224, 92.40627198713437
10014, 9.819701269951382, 6.507510907790768, 15.37224405040614, 75.44431098715417
10019, 9.744853650724869, 6.4977739249522335, 15.075126397493413, 75.86596270638142
10029, 4.187396795458308, 4.075863161575241, 2.1080318682575383, 96.03933976289406
10031, 8.497346030189133, 5.9051627050212865, 9.485019002445275, 84.10128745249389
10051, 9.262933693715562, 6.138496864336562, 11.961950932863228, 80.09769355075657
10053, 4.749275267824175, 4.3640007683326605, 2.8363011283497883, 94.99515162200282
10056, 9.952353628119388, 6.381428635281399, 15.230164738113261, 76.38333153094698
10064, 5.223252512532297, 4.977662616776504, 3.868934729962361, 93.15204388293992
10075, 9.448542723863543, 6.538886371870119, 14.787783764685097, 77.08572564261108
10079, 7.959127313213895, 6.453684535726626, 11.568504089435223, 82.78565551952765
10080, 8.100615416819945, 6.364673520161408, 11.605647049602727, 82.55821927873735
10082, 8.75262151859183, 6.522428183384825, 13.317528803755158, 80.07301692665118
10083, 6.128261077904399, 5.354098024683414, 5.458505512210404, 90.48826697298345
10084, 5.987926768440791, 5.3406082770250975, 5.728053004065653, 90.59930733323294
10085, 6.51069990963744, 5.470573399284462, 6.368420310097204, 89.6022911640637
10086, 7.539267808516995, 6.22475316569692, 10.167230546157564, 84.56645722571291
10087, 7.095752281237912, 6.149512997126285, 9.281614324499516, 86.01087865322648
10089, 7.329937292939497, 6.1454503037111285, 9.514577797111865, 85.31061157712567
10090, 4.603646656843404, 4.341531756491714, 2.1910503130071874, 95.89612798516114
10093, 7.309392179667386, 5.876511261651483, 8.259852243430032, 86.05303637584765
10094, 7.682381859376513, 6.162785328706616, 9.921742461555299, 84.27625458326493
10097, 5.7493585763412876, 5.345417863710545, 4.8762974084470265, 91.32286702787388
10117, 6.404067775644735, 5.0534848565631965, 4.780546563276368, 91.48786669678034
10119, 5.589423031796857, 4.637556617790517, 3.3956668174734834, 93.77419192680843
10120, 4.220850422930681, 4.121707850793778, 1.591491343839764, 96.4417876458867
10124, 5.8728464654989025, 5.357059399505935, 5.0005380779854365, 90.83473831473975
10126, 5.567205415566319, 4.944807502259857, 3.826332509707024, 92.9279915284151
10128, 4.370861418100157, 4.887263349513856, 2.899398840240464, 94.02298239080704
10136, 8.108820436905308, 6.663730751483225, 12.265316816119114, 81.54665981195686
10144, 5.787725987292031, 5.270611344741438, 5.1852688657930415, 90.98508811568007
10145, 5.457809427718032, 4.751027930065798, 3.721805700547278, 93.53231470057891
10150, 6.48149955988149, 5.81074151078642, 6.822691615822561, 88.35747269254307
10161, 5.844912891193126, 4.888973883384744, 3.8731139360817393, 93.30266976696822
10165, 5.23500334362233, 4.43343352391314, 2.416460905349794, 95.01399176954732
10167, 5.623317179595686, 4.760128243248409, 3.3834461148704955, 93.56311877062569
10168, 5.97998828374153, 4.952273558588608, 4.003855934316154, 92.79505376701515
10174, 7.983421559794014, 6.724142108199196, 13.011375951783306, 81.41671502786303
10176, 7.988727522220469, 6.617387850054548, 12.763930230617298, 81.5387932233566
10177, 8.417961799000738, 6.97371357252222, 15.005622339428662, 79.07084147680116
10180, 8.024825837935822, 6.831555218222789, 13.644809529469912, 80.7214669577893
10182, 6.743784109452751, 6.070888070419299, 7.943859152937849, 86.87454335478093
10198, 6.9163581554178934, 6.330532325671822, 8.999603017070266, 85.36588593357153
10199, 8.188249086521587, 6.936436535980729, 13.06500400442141, 79.45963477029183
10200, 5.86179638139771, 6.028832006842022, 7.578261422253742, 88.3385630272903
10201, 6.928669133985423, 6.592048006479106, 9.807397751344304, 84.38650806583021
10202, 6.279572704954632, 6.301496889946407, 8.590306910286232, 86.47301694600739
10203, 7.517810134743868, 6.592200669723535, 10.477404280176305, 82.88792416759598
10204, 6.770553323210809, 6.313769450535735, 9.03497581459629, 85.79173975442514
10205, 5.021999652980211, 5.1163652535320265, 4.747269269889002, 92.37606686419316
10206, 4.597061968713972, 4.792935053026383, 3.892245551957806, 93.67537915456599
10207, 5.145450116339527, 5.097800236275664, 4.653704746447617, 92.43483157232288
10208, 4.53860481687701, 4.56885572096838, 3.4417401245524837, 94.53754124171405
